Index,state,zip,phone
0,0,1,0
1,0,1,0
2,0,1,0
3,0,1,0
4,0,1,0
5,0,1,0
6,0,1,0
7,0,1,0
8,0,1,0
9,0,1,0
10,0,1,1
11,0,1,1
12,0,1,1
13,0,1,0
14,0,1,1
15,0,1,1
16,0,1,1
17,0,1,1
18,0,1,1
19,0,1,0
20,0,1,0
21,0,1,1
22,0,1,0
23,0,1,1
24,0,1,1
25,0,1,1
26,0,1,0
27,0,1,1
28,0,1,1
29,0,1,0
30,0,1,1
31,0,1,1
32,0,1,1
33,0,1,1
34,0,1,1
35,0,1,0
36,0,1,0
37,0,1,0
38,0,1,1
39,0,1,1
40,0,1,1
41,0,1,1
42,0,1,1
43,0,1,1
44,0,1,0
45,0,1,1
46,0,1,1
47,0,1,1
48,0,1,0
49,0,1,1
50,0,1,0
51,0,1,1
52,0,1,0
53,0,1,0
54,0,1,1
55,0,1,1
56,0,1,1
57,0,1,1
58,0,1,1
59,0,1,0
60,0,1,1
61,0,1,1
62,0,1,1
63,0,1,1
64,0,1,1
65,0,1,1
66,0,1,1
67,0,1,1
68,0,1,1
69,0,1,0
70,0,1,0
71,0,1,0
72,0,1,0
73,0,1,1
74,0,1,0
75,0,1,1
76,0,1,0
77,0,1,1
78,0,1,1
79,0,1,1
80,0,1,1
81,0,1,1
82,0,1,1
83,0,1,1
84,0,1,1
85,0,1,0
86,0,1,1
87,0,1,1
88,0,1,1
89,0,1,1
90,0,1,1
91,0,1,1
92,0,1,0
93,0,1,1
94,0,1,0
95,0,1,0
96,0,1,0
97,0,1,0
98,0,1,1
99,0,1,1
100,0,1,0
101,0,1,1
102,0,1,1
103,0,1,1
104,0,1,1
105,0,1,1
106,0,1,1
107,0,1,0
108,0,1,1
109,0,1,1
110,0,1,1
111,0,1,1
112,0,1,1
113,0,1,1
114,0,1,1
115,0,1,1
116,0,1,1
117,0,1,1
118,0,1,1
119,0,1,0
120,0,1,0
121,0,1,1
122,0,1,1
123,0,1,0
124,0,1,1
125,0,1,1
126,0,1,1
127,0,1,1
128,0,1,1
129,0,1,1
130,0,1,1
131,0,1,0
132,0,1,0
133,0,1,1
134,0,1,1
135,0,1,1
136,0,1,1
137,0,1,1
138,0,1,1
139,0,1,1
140,0,1,1
141,0,1,1
142,0,1,0
143,0,1,1
144,0,1,0
145,0,1,0
146,0,1,0
147,0,1,0
148,0,1,0
149,0,1,1
150,0,1,1
151,0,1,1
152,0,1,1
153,0,1,1
154,0,1,1
155,0,1,1
156,0,1,1
157,0,1,1
158,0,1,1
159,0,1,1
160,0,1,1
161,0,1,1
162,0,1,1
163,0,1,1
164,0,1,1
165,0,1,1
166,0,1,1
167,0,1,1
168,0,1,1
169,0,1,0
170,0,1,0
171,0,1,1
172,0,1,1
173,0,1,1
174,0,1,1
175,0,1,0
176,0,1,1
177,0,1,1
178,0,1,0
179,0,1,1
180,0,1,1
181,0,1,1
182,0,1,0
183,0,1,1
184,0,1,1
185,0,1,1
186,0,1,1
187,0,1,1
188,0,1,1
189,0,1,1
190,0,1,1
191,0,1,1
192,0,1,1
193,0,1,1
194,0,1,0
195,0,1,0
196,0,1,0
197,0,1,0
198,0,1,1
199,0,1,1
200,0,1,0
201,0,1,1
202,0,1,1
203,0,1,0
204,0,1,1
205,0,1,1
206,0,1,1
207,0,1,1
208,0,1,1
209,0,1,1
210,0,1,1
211,0,1,0
212,0,1,1
213,0,1,0
214,0,1,1
215,0,1,1
216,0,1,1
217,0,1,1
218,0,1,1
219,0,1,0
220,0,1,0
221,0,1,1
222,0,1,1
223,0,1,1
224,0,1,0
225,0,1,0
226,0,1,1
227,0,1,1
228,0,1,1
229,0,1,0
230,0,1,0
231,0,1,1
232,0,1,1
233,0,1,1
234,0,1,1
235,0,1,1
236,0,1,1
237,0,1,1
238,0,1,1
239,0,1,1
240,0,1,1
241,0,1,1
242,0,1,1
243,0,1,1
244,0,1,0
245,0,1,0
246,0,1,1
247,0,1,1
248,0,1,1
249,0,1,1
250,0,1,0
251,0,1,1
252,0,1,0
253,0,1,0
254,0,1,1
255,0,1,1
256,0,1,1
257,0,1,1
258,0,1,1
259,0,1,1
260,0,1,1
261,0,1,1
262,0,1,1
263,0,1,0
264,0,1,1
265,0,1,1
266,0,1,1
267,0,1,0
268,0,1,1
269,0,1,0
270,0,1,0
271,1,1,1
272,1,1,1
273,0,1,1
274,1,1,0
275,0,1,1
276,1,1,1
277,0,1,0
278,1,1,1
279,1,1,0
280,1,1,1
281,1,1,1
282,1,1,0
283,1,1,1
284,1,1,1
285,1,1,1
286,1,1,1
287,1,1,1
288,1,1,1
289,1,1,1
290,1,1,1
291,0,1,1
292,1,1,1
293,0,1,1
294,0,1,0
295,0,1,0
296,0,1,0
297,0,1,1
298,0,1,0
299,0,1,0
300,0,1,1
301,0,1,0
302,0,1,1
303,0,1,1
304,0,1,1
305,0,1,1
306,0,1,1
307,0,1,1
308,0,1,1
309,0,1,1
310,0,1,1
311,0,1,0
312,0,1,0
313,0,1,0
314,0,1,1
315,0,1,1
316,0,1,1
317,0,1,1
318,0,1,0
319,0,1,1
320,0,1,0
321,0,1,1
322,0,1,1
323,0,1,1
324,0,1,0
325,0,1,1
326,0,1,1
327,0,1,1
328,0,1,0
329,0,1,1
330,0,1,1
331,0,1,0
332,0,1,1
333,0,1,0
334,0,1,0
335,0,1,0
336,0,1,1
337,0,1,1
338,0,1,1
339,0,1,1
340,0,1,1
341,0,1,1
342,0,1,1
343,0,1,1
344,0,1,0
345,0,1,1
346,0,1,0
347,0,1,1
348,0,1,0
